OID	Arrival	Duration	TimeOut
232	200	391	834
177	846	42	1140
135	598	328	993
104	495	589	1236
203	1027	492	1583
252	1290	27	1434
173	1036	322	1569
247	82	234	401
231	1775	485	2389
128	194	417	907
194	984	577	1589
211	1393	396	1981
297	625	106	913
171	819	166	1180
254	832	92	925
191	508	555	1146
156	237	137	470
163	1209	392	1819
195	1544	238	2011
174	488	575	1205
154	586	406	1186
273	1012	96	1171
219	3	437	666
298	137	86	271
205	436	145	732
116	425	236	834
243	525	376	1137
179	1883	459	2357
246	475	361	938
265	1794	444	2308
223	257	271	751
251	1841	428	2282
237	1211	491	1806
105	354	82	479
155	871	191	1103
167	914	17	1131
198	503	133	764
132	637	149	918
106	189	511	759
282	1151	439	1869
224	450	116	684
276	904	124	1200
144	1609	356	2076
131	1677	515	2455
125	6	38	190
250	516	555	1197
117	94	50	259
272	1969	3	2233
137	1411	52	1643
269	1490	171	1882
123	38	285	417
133	1186	446	1884
160	1133	61	1314
114	333	563	898
147	741	229	1103
248	755	214	1208
175	195	336	699
145	1224	551	1911
283	97	587	977
259	1049	448	1731
292	1628	1	1788
290	1371	409	1848
150	1245	458	1753
286	3	150	392
278	1693	20	1904
240	589	359	1054
158	1391	118	1680
226	1154	499	1666
257	1614	6	1699
186	1539	354	1986
170	946	104	1124
277	938	63	1024
141	217	71	409
222	118	148	282
103	159	482	780
263	330	353	848
166	1143	75	1510
271	196	58	311
245	1593	146	1821
111	822	362	1200
120	1707	597	2388
209	309	364	814
295	1345	507	2085
213	1090	490	1785
187	1887	413	2477
288	386	308	753
193	1346	551	1900
264	748	227	1036
221	1395	30	1541
260	264	115	468
280	1307	481	1940
189	1898	67	2079
136	1624	91	1725
281	369	543	1156
184	1872	472	2572
210	984	250	1354
229	1693	421	2135
262	1165	110	1354
142	1024	486	1684
146	1439	166	1622
227	1287	289	1676
172	929	464	1439
181	404	355	913
233	717	448	1284
118	1077	414	1718
121	839	101	1042
129	1182	396	1717
126	168	227	457
241	1928	379	2513
182	1153	593	1761
138	45	337	539
140	1958	264	2289
122	262	10	510
157	1736	6	1853
108	1948	351	2375
192	1909	462	2384
101	1333	118	1698
214	775	95	963
162	91	295	555
244	54	554	619
110	1921	125	2324
119	1569	537	2279
107	1078	586	1669
180	979	278	1280
159	1421	35	1740
234	835	322	1217
249	850	342	1275
130	731	466	1215
266	474	90	816
143	256	546	1084
197	1047	256	1589
196	249	454	927
207	819	367	1218
228	5	484	564
112	1918	279	2390
274	573	261	859
199	1429	227	1893
212	1330	162	1687
190	538	278	997
124	1251	510	1801
284	680	12	912
291	597	273	1130
216	1216	516	1968
239	663	592	1534
185	1513	587	2119
289	1459	150	1665
161	588	125	888
230	91	267	387
188	1406	462	2071
225	541	343	930
115	1801	355	2368
183	1586	40	1639
220	1540	53	1686
113	1288	35	1384
178	1278	463	1963
149	1139	410	1640
109	1688	459	2306
256	1143	141	1556
296	1770	459	2458
206	1041	27	1182
100	1674	393	2281
153	1302	496	2048
218	97	149	255
102	228	332	725
165	1799	196	2047
134	302	566	1012
270	545	435	1085
176	1238	574	1831
293	1976	78	2116
285	1811	400	2351
139	319	201	568
164	678	70	794
148	600	26	860
208	1262	456	1942
279	344	243	735
253	1646	297	2220
287	1139	209	1550
235	1633	389	2176
168	1594	415	2268
261	60	355	486
242	1413	221	1650
236	1146	194	1552
204	664	184	919
238	1301	20	1458
258	390	255	875
217	92	36	399
255	710	388	1233
202	1147	64	1228
169	1226	18	1520
275	1921	138	2262
267	725	179	1039
299	589	111	920
268	532	126	949
151	1930	265	2422
294	1480	478	2248
127	262	394	812
152	1099	283	1592
215	3	202	460
200	630	401	1302
201	16	242	530
