OID	Arrival	Duration	TimeOut
215	3	202	460
219	3	437	666
286	3	150	392
228	5	484	564
125	6	38	190
201	16	242	530
123	38	285	417
138	45	337	539
244	54	554	619
261	60	355	486
247	82	234	401
162	91	295	555
230	91	267	387
217	92	36	399
117	94	50	259
218	97	149	255
283	97	587	977
222	118	148	282
298	137	86	271
103	159	482	780
126	168	227	457
106	189	511	759
128	194	417	907
175	195	336	699
271	196	58	311
232	200	391	834
141	217	71	409
102	228	332	725
156	237	137	470
196	249	454	927
143	256	546	1084
223	257	271	751
122	262	10	510
127	262	394	812
260	264	115	468
134	302	566	1012
209	309	364	814
139	319	201	568
263	330	353	848
114	333	563	898
279	344	243	735
105	354	82	479
281	369	543	1156
288	386	308	753
258	390	255	875
181	404	355	913
116	425	236	834
205	436	145	732
224	450	116	684
266	474	90	816
246	475	361	938
174	488	575	1205
104	495	589	1236
198	503	133	764
191	508	555	1146
250	516	555	1197
243	525	376	1137
268	532	126	949
190	538	278	997
225	541	343	930
270	545	435	1085
274	573	261	859
154	586	406	1186
161	588	125	888
240	589	359	1054
299	589	111	920
291	597	273	1130
135	598	328	993
148	600	26	860
297	625	106	913
200	630	401	1302
132	637	149	918
239	663	592	1534
204	664	184	919
164	678	70	794
284	680	12	912
255	710	388	1233
233	717	448	1284
267	725	179	1039
130	731	466	1215
147	741	229	1103
264	748	227	1036
248	755	214	1208
214	775	95	963
171	819	166	1180
207	819	367	1218
111	822	362	1200
254	832	92	925
234	835	322	1217
121	839	101	1042
177	846	42	1140
249	850	342	1275
155	871	191	1103
276	904	124	1200
167	914	17	1131
172	929	464	1439
277	938	63	1024
170	946	104	1124
180	979	278	1280
194	984	577	1589
210	984	250	1354
273	1012	96	1171
142	1024	486	1684
203	1027	492	1583
173	1036	322	1569
206	1041	27	1182
197	1047	256	1589
259	1049	448	1731
118	1077	414	1718
107	1078	586	1669
213	1090	490	1785
152	1099	283	1592
160	1133	61	1314
149	1139	410	1640
287	1139	209	1550
166	1143	75	1510
256	1143	141	1556
236	1146	194	1552
202	1147	64	1228
282	1151	439	1869
182	1153	593	1761
226	1154	499	1666
262	1165	110	1354
129	1182	396	1717
133	1186	446	1884
163	1209	392	1819
237	1211	491	1806
216	1216	516	1968
145	1224	551	1911
169	1226	18	1520
176	1238	574	1831
150	1245	458	1753
124	1251	510	1801
208	1262	456	1942
178	1278	463	1963
227	1287	289	1676
113	1288	35	1384
252	1290	27	1434
238	1301	20	1458
153	1302	496	2048
280	1307	481	1940
212	1330	162	1687
101	1333	118	1698
295	1345	507	2085
193	1346	551	1900
290	1371	409	1848
158	1391	118	1680
211	1393	396	1981
221	1395	30	1541
188	1406	462	2071
137	1411	52	1643
242	1413	221	1650
159	1421	35	1740
199	1429	227	1893
146	1439	166	1622
289	1459	150	1665
294	1480	478	2248
269	1490	171	1882
185	1513	587	2119
186	1539	354	1986
220	1540	53	1686
195	1544	238	2011
119	1569	537	2279
183	1586	40	1639
245	1593	146	1821
168	1594	415	2268
144	1609	356	2076
257	1614	6	1699
136	1624	91	1725
292	1628	1	1788
235	1633	389	2176
253	1646	297	2220
100	1674	393	2281
131	1677	515	2455
109	1688	459	2306
229	1693	421	2135
278	1693	20	1904
120	1707	597	2388
157	1736	6	1853
296	1770	459	2458
231	1775	485	2389
265	1794	444	2308
165	1799	196	2047
115	1801	355	2368
285	1811	400	2351
251	1841	428	2282
184	1872	472	2572
179	1883	459	2357
187	1887	413	2477
189	1898	67	2079
192	1909	462	2384
112	1918	279	2390
110	1921	125	2324
275	1921	138	2262
241	1928	379	2513
151	1930	265	2422
108	1948	351	2375
140	1958	264	2289
272	1969	3	2233
293	1976	78	2116
